STT,Domain,Mô tả chi tiết domain,Object,Mô tả chi tiết object,Properties xuất hiện,Lifecycle object,LinkType chính liên quan
1,Party Management,"Quản lý toàn bộ chủ thể tham gia hệ sinh thái A-score/CTI của F88, bao gồm khách tiềm năng, lead, applicant, customer, returning customer và các bên liên quan. Domain này là lớp định danh nghiệp vụ trung tâm để gom hồ sơ, định danh, liên hệ, địa chỉ, nghề nghiệp, thu nhập, lịch sử tương tác và trạng thái rủi ro/blacklist. Trong A-score, domain này cung cấp dữ liệu nền về nhân thân, độ ổn định, khả năng liên hệ và điều kiện đủ điều kiện ban đầu.",Party,"Chủ thể trung tâm của hệ sinh thái F88. Lead, Applicant, Customer, ReturningC...","party_id, full_name, dob, gender, party_status, party_segment, blacklist_flag...",Prospect → Lead → Applicant → Customer → ReturningCustomer → Blacklisted,"has_identifier: Party có định danh Identifier
has_contact: Party có điểm liên..."
2,,,Identifier,"Giấy tờ định danh của Party như CCCD/CMND/GPLX/passport; dùng cho KYC, chống ...","identifier_id, party_id, identifier_type, identifier_number, issued_date, exp...",Captured → Validated → Verified → Expired,has_identifier: Party có định danh Identifier
3,,,ContactPoint,"Điểm liên hệ của Party như phone, email, Zalo, app contact; dùng cho xác minh...","contact_id, party_id, contact_type, phone, email, zalo_id, is_primary, verifi...",Declared → Verified → Active → Inactive,has_contact: Party có điểm liên hệ ContactPoint
4,,,Address,"Địa chỉ thường trú, tạm trú, nơi ở hiện tại hoặc nơi làm việc; dùng cho stabi...","address_id, party_id, address_type, province, district, ward, full_address, r...",Declared → Standardized → Verified → Inactive,has_address: Party có địa chỉ Address
5,,,Employment,Thông tin nghề nghiệp/việc làm của Party; dùng để đánh giá tính ổn định thu n...,"employment_id, party_id, occupation, employer_name, employment_type, working_...",Declared → Verified → Active → Ended,has_employment: Party có nghề nghiệp Employment
6,,,IncomeProfile,Hồ sơ thu nhập của Party; phục vụ affordability và scoring. Không tách thành ...,"income_profile_id, party_id, monthly_income, income_type, income_source, inco...",Collected → Verified → UsedForAssessment → Expired,"has_income_profile: Party có hồ sơ thu nhập IncomeProfile
assessment_uses_inc..."
7,KYC & Verification,"Quản lý hồ sơ định danh, OCR/eKYC, xác minh giấy tờ và case xác minh nghiệp vụ trước khi chấm điểm hoặc phê duyệt. Domain này không chỉ lưu kết quả KYC mà còn lưu bằng chứng, mức tin cậy, mismatch, trạng thái xác minh và kết luận để phục vụ kiểm soát fraud, consent, audit và routing sang manual review nếu cần.",KYCProfile,Hồ sơ định danh tổng hợp của Party. Gộp trạng thái/kết quả KYCCheck và Livene...,"kyc_profile_id, party_id, kyc_level, kyc_status, liveness_result, face_match_...",Created → InReview → Verified/Rejected → Expired,"uses_kyc_profile: VerificationCase sử dụng hồ sơ KYC KYCProfile
assessment_us..."
8,,,OCRResult,Kết quả OCR từ giấy tờ định danh hoặc giấy tờ xe; là bằng chứng dùng trong Ve...,"ocr_id, document_id, extracted_fields, confidence_score, mismatch_flag, proce...",Created → Extracted → Validated → Used,"ocr_to: ApplicationDocument được OCR thành OCRResult
uses_ocr: VerificationCa..."
9,,,VerificationCase,"Case xác minh nghiệp vụ cho hồ sơ/Party, gom bằng chứng và kết luận xác minh;...","verification_id, application_id, party_id, scope, result, confidence_score, m...",Created → EvidenceCollected → Checked → OutcomeProduced → Closed,"verified_by: Application được xác minh bởi VerificationCase
uses_kyc_profile:..."
10,Partner & Channel Management,"Quản lý nguồn phát sinh lead/hồ sơ như Zalo, MyF88, PGD, app, web, telesales và đối tác tích hợp. Domain này giúp truy vết hồ sơ đến từ đâu, kênh nào chịu trách nhiệm, SLA phản hồi, chất lượng nguồn lead và sự khác biệt rủi ro theo channel/branch/partner để phục vụ routing, monitoring và policy.",Partner,"Đối tác/kênh bên ngoài cung cấp lead, dữ liệu, sản phẩm hoặc tích hợp.","partner_id, partner_name, partner_type, integration_status, contract_status",Onboarded → Active → Suspended → Offboarded,provided_by: Channel được cung cấp bởi Partner
